Feature,Coefficient,Odds_Ratio,abs_coef
time_diag_Depois,-0.7401528189120394,0.4770410090624303,0.7401528189120394
cidpri_min_C341,-0.6577113825071206,0.5180355641044452,0.6577113825071206
racacor_amarela,-0.6426228500515069,0.5259112272093917,0.6426228500515069
tempo_coorte,-0.6300997224791501,0.5325386922802366,0.6300997224791501
estadio_2,-0.47454383868110706,0.6221688010843166,0.47454383868110706
macro_pcn_Noroeste,-0.43795106408198653,0.6453573632395977,0.43795106408198653
cidpri_min_D381,-0.43238646128181923,0.6489585308714839,0.43238646128181923
cir_proc_tto_min_rec_LOBECTOMIA,-0.40439189967902117,0.6673825230155871,0.40439189967902117
estado_estabel_MG,-0.4026596474181458,0.6685395997850381,0.4026596474181458
cid_tto_min_C384,-0.37543915050624477,0.6869875216195114,0.37543915050624477
macro_pcn_Nordeste,-0.3735248669775779,0.6883038700466255,0.3735248669775779
cid_tto_min_C343,-0.3294308894618384,0.7193329969518015,0.3294308894618384
tipo_proc_min_cirurgia oncológica,-0.3289678300912485,0.7196661679696421,0.3289678300912485
perfil_rec_Cirur + Quimio,-0.3207749191735914,0.7255865482318197,0.3207749191735914
cid_tto_min_C340,-0.2904030679847001,0.7479620272650624,0.2904030679847001
tipo_proc_min_outros de oncologia,-0.28567348047046454,0.7515079579150948,0.28567348047046454
tipo_tto_min_6,-0.2620970711059136,0.7694363300468485,0.2620970711059136
cir_proc_tto_min_rec_PNEUMOMECTOMIA,-0.24810733670086968,0.7802761865113998,0.24810733670086968
f_org_tto_min_rec_Cirurgia,-0.23933485474066588,0.7871512569070364,0.23933485474066588
macro_pcn_Leste,-0.21612125015714645,0.8056376122640689,0.21612125015714645
perfil_rec_Quimioterapia,-0.21091901724915732,0.8098396472681776,0.21091901724915732
perfil_rec_Cirur + Quimio + Radio,-0.15916388153078814,0.8528565800739695,0.15916388153078814
cir_proc_tto_min_rec_multiplas_cir_seq,-0.15062314254951803,0.8601717997368421,0.15062314254951803
tipo_proc_min_diagnóstico,-0.14929213217048906,0.86131745960349,0.14929213217048906
tipo_proc_min_quimioterapia,-0.14859299781203583,0.861919846783285,0.14859299781203583
estadio_rec_Doença Precoce,-0.1478047469587467,0.8625995236807336,0.1478047469587467
macro_tto_Fora,-0.14603662259780179,0.8641260560641452,0.14603662259780179
racacor_sem informação,-0.14579608229971822,0.8643339382042662,0.14579608229971822
cid_tto_min_D143,-0.13211242674849855,0.876242476448889,0.13211242674849855
cir_proc_tto_min_rec_RESSECÇÃO EM CUNHA,-0.13211242674849855,0.876242476448889,0.13211242674849855
macro_pcn_Centro,-0.12721773647336984,0.8805419256292194,0.12721773647336984
sexo_F,-0.11375050569678362,0.8924805969320824,0.11375050569678362
macro_pcn_Oeste,-0.09520761768597183,0.9091841521618427,0.09520761768597183
perfil_rec_Quimio + Radio,-0.09087255018776474,0.9131340822506833,0.09087255018776474
cid_tto_min_C770,-0.08771859216074251,0.9160186152760447,0.08771859216074251
cidpri_min_C342,-0.08335943855411443,0.9200203969802453,0.08335943855411443
tempo_diag_tto_min,-0.08305300624404646,0.9203023641555217,0.08305300624404646
cidpri_min_C34,-0.06576757850259787,0.9363484665155997,0.06576757850259787
macro_pcn_Triângulo do Norte,-0.05374701996769148,0.9476718182265728,0.05374701996769148
macro_pcn_Leste do Sul,-0.01700699970196818,0.9831368029462102,0.01700699970196818
racacor_preta,-0.005818229498660704,0.9941986636200294,0.005818229498660704
cid_tto_min_C349,-0.0009243938621182154,0.9990760332582687,0.0009243938621182154
